platform,username,name,school,org_type,category_hint,active,notes
facebook,NTHU.GleeClub,清大合唱團,nthu,club,音樂性,true,官方社團系統cms.club.nthu.edu.tw登錄網站
instagram,nthu_glee,清大合唱團,nthu,club,音樂性,true,搜尋見IG貼文帳號nthu_glee（頁名：清華大學合唱團）
instagram,nthu_acappella,清大人聲樂創社,nthu,club,音樂性,true,官方社團系統登錄；IG搜尋顯示566粉絲
facebook,acappellaandmusiccomposeclub,清大人聲樂創社,nthu,club,音樂性,true,搜尋見FB粉專「清大人聲樂創社/清大阿卡」
instagram,nthu_pianoclub,清大鋼琴社,nthu,club,音樂性,true,FB粉專自介稱其為官方IG；搜尋顯示407粉絲
facebook,nthu.piano.club,清大鋼琴社,nthu,club,音樂性,true,FB粉專「清華大學鋼琴社 NTHU Piano Club」；官方系統另登錄FB社團groups/332700240091169
instagram,nthustrings,清大弦樂社,nthu,club,音樂性,true,新帳號（2026仍活躍）；舊帳號nthustrings4ever自介「這裡是清大弦樂社的新帳號」
facebook,nthustrings4ever,清大弦樂社,nthu,club,音樂性,true,官方社團系統登錄網站
instagram,nthu_grc,清大直笛魅力四社,nthu,club,音樂性,true,官方社團系統登錄；IG搜尋（NTHU Glamorous Recorder Club）
facebook,NTHUGRC,清大直笛魅力四社,nthu,club,音樂性,true,官方社團系統登錄；FB搜尋確認
instagram,guzheng_nthu,清大古箏社,nthu,club,音樂性,true,官方社團系統登錄網站；另有行政網站nthuguzheng2018.blogspot.com
instagram,nthu_cmc,清大國樂社,nthu,club,音樂性,true,IG搜尋（清華大學國樂社；2026比賽貼文活躍）
facebook,NTHUGuoyue,清大國樂社,nthu,club,音樂性,true,FB搜尋「清華大學國樂社」
instagram,nthu_harmonica_club,清大口琴社,nthu,club,音樂性,true,IG搜尋（清大口琴社；185粉絲）
facebook,nthuharmonica,清大口琴社,nthu,club,音樂性,true,官方社團系統登錄網站
instagram,ukulele_nycu_nthu,清大烏克麗麗社,nthu,club,音樂性,true,清交大聯合社帳號（清交大烏克麗麗社；2025-2026社課貼文活躍）
facebook,NTHUXNYCUUkuleleClub,清大烏克麗麗社,nthu,club,音樂性,true,官方社團系統登錄網站
instagram,nthu_dj_club,清大DJ社,nthu,club,音樂性,true,IG搜尋見多篇貼文帳號nthu_dj_club（頁名：清大DJ社）
facebook,nthucookingclub,清大烹飪社,nthu,club,技藝性,true,FB搜尋（1919讚）；linktr.ee/nthucookingclub
instagram,nthu_cookingclub,清大烹飪社,nthu,club,技藝性,true,IG搜尋（422粉絲；2026貼文活躍）
facebook,NTHUmahjong,清大日本麻將研究社,nthu,club,技藝性,true,FB搜尋「國立清華大學日本麻將研究社」；官方系統另登錄FB社團groups/172633466911264；未見IG
facebook,nthucheckmate,清大西洋棋社,nthu,club,技藝性,true,官方社團系統登錄網站；未見IG
instagram,nthu_dessert_,清大RoS甜點廚房,nthu,club,技藝性,true,官方社團系統登錄；IG頁名「清大甜點社」自介RoS甜點廚房｜RoS Kitchen；linktr.ee/nthudessert
facebook,https://www.facebook.com/p/%E6%B8%85%E5%A4%A7%E7%94%9C%E9%BB%9E%E7%A4%BE-100057334394909/,清大RoS甜點廚房,nthu,club,技藝性,true,FB搜尋粉專「清大甜點社」（1501讚）
facebook,NTHUbridge,清大橋藝社,nthu,club,技藝性,true,官方社團系統登錄；FB搜尋2025貼文活躍；未見IG
facebook,https://www.facebook.com/people/%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B1%A1%E6%A3%8B%E7%A4%BE/100064703105847/,清大象棋社,nthu,club,技藝性,true,FB搜尋粉專「清華大學象棋社」；未見IG
facebook,nthudrinks,清大飲品藝術研習社,nthu,club,技藝性,true,官方社團系統登錄；FB頁名「清大飲品社 NTHU Beverage」
instagram,nthu_coffee,清大飲品藝術研習社,nthu,club,技藝性,true,IG自介「我們是飲品社咖啡組」；為該社咖啡組帳號
facebook,NTHUBoardgameClub,清大桌上遊戲社,nthu,club,技藝性,true,官方社團系統登錄；FB頁名「清大桌上遊戲社 TsingHua Boardgame Club」
instagram,nthu_bgclub,清大桌上遊戲社,nthu,club,技藝性,true,IG搜尋（清大桌遊社；168粉絲）
facebook,NTHUCCGC,清大卡牌遊戲社,nthu,club,技藝性,true,FB搜尋「清大卡牌遊戲社 NTHU CCGC」
instagram,nthuccgc,清大卡牌遊戲社,nthu,club,技藝性,true,IG搜尋（清華大學卡牌遊戲社；56粉絲38貼文）
