platform,username,name,school,org_type,category_hint,active,notes
facebook,https://www.facebook.com/清大-射箭社-105085940859544/,清大射箭社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
facebook,https://www.facebook.com/NTHUKB/,清大散打搏擊社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
facebook,https://www.facebook.com/NTHUYOGA/,清大瑜珈社,nthu,club,體育性A,true,FB粉專「清大瑜伽 NTHU Yoga」；搜尋結果佐證
facebook,https://www.facebook.com/nthudivingclub/,清大潛水社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
instagram,nthu_skating_club,清大溜冰社,nthu,club,體育性A,true,linktr.ee/nthu_skating_club 直接連結 IG
facebook,https://www.facebook.com/profile.php?id=100057539136225,清大溜冰社,nthu,club,體育性A,true,linktr.ee/nthu_skating_club 直接連結此粉專
facebook,https://www.facebook.com/nthushootingsport/,清大空氣槍射擊社,nthu,club,體育性B,true,FB粉專「國立清華大學空氣槍射擊社」；頁面提及借不到槍枝與場地、暫無法招生，疑似停擺
facebook,https://www.facebook.com/NTHUparkour/,清大跑酷社,nthu,club,體育性B,true,清大課外活動組官方社團名錄直接連結此粉專
instagram,nthu_fitness,清大健身社,nthu,club,體育性B,true,IG帳號標題「清華健身社」；搜尋結果佐證
facebook,https://www.facebook.com/2017.nthu.tainan,清大南友會,nthu,club,綜合性,true,清大學務處「紫荊一日營」公告列為台南校友會粉專
instagram,nthu.ocsa,清大僑生聯誼會,nthu,club,綜合性,true,linktr.ee/nthu.ocsa 明示為清大僑生聯誼會並連結 IG
facebook,https://www.facebook.com/groups/NTHUOCSA,清大僑生聯誼會,nthu,club,綜合性,true,清大全球事務處列為「NTHUOCSA清大僑聯」FB社團
facebook,https://www.facebook.com/kgacamp2022,清大雄友會,nthu,club,綜合性,true,清大學務處「紫荊一日營」公告列為高雄校友會粉專
instagram,tzujing.kga_2023,清大雄友會,nthu,club,綜合性,true,清大學務處公告列為高雄校友會 IG；帳號名含屆別、可能逐屆更換
instagram,kga.yummy_nthu,清大雄友會,nthu,club,綜合性,true,雄友週活動帳號；Dcard 官方回覆稱為「清大雄友週 IG」
instagram,nthu_fsa,清大外籍生聯誼會,nthu,club,綜合性,true,IG「NTHU FSA 清華國際學生聯誼會」(Foreign Students Association)；LinkedIn 同名組織佐證
instagram,nthu.tsa,清大轉學生聯誼會同好會,nthu,club,綜合性,true,清大教務處轉學生報到須知直接列出
facebook,https://www.facebook.com/groups/191008199710231,清大轉學生聯誼會同好會,nthu,club,綜合性,true,清大教務處轉學生報到須知列為清大轉聯 FB 社團
instagram,nthuhxz,清大附友會,nthu,club,綜合性,true,與中山校友會共用帳號；師大附中官網公告稱活動由清大附友會與中山校友會主辦並提供此帳號
instagram,nthuhxz,清大中山校友會,nthu,club,綜合性,true,與附友會共用帳號；師大附中官網公告佐證
facebook,https://www.facebook.com/nthuhkmsa/,清大港澳同學會,nthu,club,綜合性,true,FB粉專「清大港澳同學會 NTHU HKMAC」；清大全球事務處頁面亦列出
instagram,nthuych,清大雲林嘉義校友會,nthu,club,綜合性,true,IG「清華大學雲嘉會」；linktr.ee/nthuych 與清大雲嘉週貼文佐證
instagram,vsa_nthu,清大越南學生聯誼會,nthu,club,綜合性,true,清大全球事務處活動公告直接標示 VSA NTHU 及此帳號
facebook,https://www.facebook.com/profile.php?id=61571806046424,清大越南學生聯誼會,nthu,club,綜合性,true,清大全球事務處同一公告提供之 FB 連結
