platform,username,name,school,org_type,category_hint,active,notes
facebook,nthuacc,清大原住民文化社,nthu,club,服務性A,true,課外組服務性社團名錄連出；近期更新狀態未確認
facebook,blisswisdom.nthu,清大福智青年社,nthu,club,服務性A,true,課外組名錄仍列名；粉專更新狀態未確認
facebook,NTHUScienceServiceClub,清大科學服務社,nthu,club,服務性A,true,1972年創社最老服務性社團；2026暑期科學營仍在辦；官網 nthussc.wixsite.com/home
instagram,nthu_whyou,清大懷幼社,nthu,club,服務性A,true,IG「清大懷幼社WHYOU」；另有 YouTube @NTHUwhyou
facebook,NTHUWHYOU,清大懷幼社,nthu,club,服務性A,true,搜尋結果佐證「清大 懷幼 WHYOU」粉專
instagram,nthuersa,清大親善大使團,nthu,club,服務性A,true,對外名稱「清華紫荊大使(ERSA)」；2003年成立接待與司儀團隊
facebook,NTHU.ERSA,清大親善大使團,nthu,club,服務性A,true,清華紫荊大使(ERSA) 粉專
facebook,NTHUCDYoungVolunteers,清大崇德青年志工社,nthu,club,服務性A,true,課外組名錄連出；可能低度更新
instagram,nthu_maomao,清大照顧與送養貓貓社,nthu,club,服務性A,true,IG 顯示名「清華貓貓社」
instagram,nthubc,清大區塊鏈研究社,nthu,club,學術性A,true,IG 現與 NTHU GDGOC 聯名「NTHU GDGOC X 清大區塊鏈研究社」
instagram,nthumdclub,清大音樂文化發展社,nthu,club,學術性A,true,IG 簡介「清音社 清大第一個音樂祭籌備社團」
facebook,nthufic,清大理財投資研習社,nthu,club,學術性A,true,課外組社團介紹頁指向此粉專；IG 未找到
facebook,https://www.facebook.com/pages/category/Community/%E6%B8%85%E8%8F%AF%E5%95%86%E6%A5%AD%E7%A0%94%E7%A9%B6%E7%A4%BE-NTHU-Business-Club-819069725153099/,清大商業研究社,nthu,club,學術性A,true,粉專無自訂 username(Page ID 819069725153099)；linktr.ee/businessclub.nthu；2026課外組公告評鑑丁等予以解散、疑似停更
facebook,nthu.acgacademic,清大ACG蔓延社,nthu,club,學術性A,true,2025社刊仍出刊；IG 未找到
instagram,igem_nthu,清大iGEM基因工程研究社,nthu,club,學術性A,true,iGEM NTHU-Taiwan 隊伍帳號、逐年沿用
facebook,NTHU.iGEM,清大iGEM基因工程研究社,nthu,club,學術性A,true,iGEM NTHU Taiwan 粉專
instagram,nthucg,清大管理顧問社,nthu,club,學術性A,true,NTHU Consulting Group；LinkedIn 有 Threads 短網址但無法確認 handle 故未收
facebook,NTHUCG,清大管理顧問社,nthu,club,學術性A,true,粉專 username nthucg
instagram,nthu_dsc,清大資料科學社,nthu,club,學術性A,true,清大管院職涯辦公告正文標示 @nthu_dsc
facebook,https://www.facebook.com/p/NTHU-Data-Science-Club-%E6%B8%85%E5%A4%A7%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E7%A4%BE-61557758195549/,清大資料科學社,nthu,club,學術性A,true,粉專無自訂 username(Page ID 61557758195549)
instagram,hultprize_nthu,清大霍特獎社,nthu,club,學術性A,true,清大國際處2026校園賽公告列出；註冊社團2025曾遭停權一年但賽事續辦
facebook,HPNTHU2022,清大霍特獎社,nthu,club,學術性A,true,Hult Prize at NTHU 粉專
instagram,maygong.official,清大梅竹工作會,nthu,club,功能性,true,清大電子報招募公告佐證
facebook,meichuwin,清大梅竹工作會,nthu,club,功能性,true,梅竹工作會粉專
instagram,meichu_prep_cmte,清大梅竹籌委會,nthu,club,功能性,true,2026丙午梅竹官方公告仍引用
facebook,MeiChuGamePreparatoryCommittee,清大梅竹籌委會,nthu,club,功能性,true,梅竹賽籌備委員會粉專
instagram,mei.chuuuuu,清大梅竹火力班,nthu,club,功能性,true,清大電子報招募公告佐證
facebook,nthutzuchi,清大慈濟青年社,nthu,club,服務性B,true,清大慈青官網聯絡頁連出；佐證較舊、unverified 更新狀態
facebook,nthueduequ,清大課輔志工社,nthu,club,服務性B,true,課外組服務性社團頁連出；更新狀態未確認
facebook,nthu.rover,清大羅浮童子軍群,nthu,club,服務性B,true,2025創團五十週年活動、仍運作
facebook,https://www.facebook.com/profile.php?id=137598826386406,清大藍天社,nthu,club,服務性B,true,無自訂 username；2026社辦資料與2025評鑑顯示活躍、粉專佐證較舊
instagram,nthucarelife,清大關懷生命社,nthu,club,服務性B,true,清大懷生社/校園流浪犬關懷社、IG約4800粉絲
