platform,username,name,school,org_type,category_hint,active,notes
facebook,https://www.facebook.com/econstudents/,清大經濟系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「清大經濟系學會」（econstudents）
instagram,nthugsa25,清大畢業生聯誼會,nthu,official,自治,true,IG 顯示名「清大25級-畢聯會」；屆別帳號（每屆換帳號）
instagram,nthu_ieem,清大工業工程與工程管理學系系學會,nthu,department,自治,true,IG 顯示名「清華工業工程與工程管理學系系學會」
facebook,https://www.facebook.com/nthu.math.stu/,清大數學系系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「清華大學數學系系學會」
instagram,nthu_phys,清大物理系學會,nthu,department,自治,true,IG 顯示名「清大物理系學會」；bio 另載 FB「清華大學物理系系學會」
instagram,nthuchem26,清大化學系學會,nthu,department,自治,true,IG 顯示名「清大化學系學會」；26級屆別帳號、貼文少
facebook,https://www.facebook.com/nthumaterial/,清大材料系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學材料系學會」
instagram,nthumseofficial,清大材料系學會,nthu,department,自治,true,材料系學會 FB 頁面說明載明 IG 為 nthumseofficial；unverified
facebook,https://www.facebook.com/QingDaHuaGongXiXueHui/,清大化學工程系系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學化學工程系系學會」
instagram,nthu_pmesa,清大動機系學會,nthu,department,自治,true,IG 顯示名「清大動機系學會」
instagram,nthu_qf,清大計財系系學會,nthu,department,自治,true,IG 顯示名「清大計財系系學會」；bio 自稱計財28級系學會
facebook,https://www.facebook.com/DSPMTSA/,清大科技管理學院學士班系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學科技管理學院學士班系學會」
facebook,https://www.facebook.com/nthuclssa/,清大生命科學暨醫學院院學會,nthu,department,自治,true,對應名冊「生科系會」；FB 專頁「國立清華大學生命科學暨醫學院院學會」，另有官網 nthuclssa.wixsite.com
instagram,nthu_ei,清大英語教學系系學會,nthu,department,自治,true,IG 顯示名「清大英語教學系系學會」
instagram,nthu_econ,清大經濟系學會,nthu,department,自治,true,IG 顯示名「清大經濟系學會」
facebook,https://www.facebook.com/nthugrad/,清大畢業生聯誼會,nthu,official,自治,true,搜尋結果顯示 FB 專頁「清大畢聯會」（nthugrad）
facebook,https://www.facebook.com/nthugsa26/,清大畢業生聯誼會26級,nthu,official,自治,true,搜尋結果顯示 FB 專頁「清大畢業生聯誼會26級」；屆別帳號
instagram,nthu_ess_sa_official,清大工程與系統科學系學會,nthu,department,自治,true,IG 顯示名「清大工程與系統科學系學會」（工科系學會）
instagram,nthufll_sa,清大外語系學會,nthu,department,自治,true,IG 顯示名「清大外語系學會」
facebook,https://www.facebook.com/nthufllsa/,清大外語系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「清大外語系學會」（DFLLSA）
instagram,nthu_spe,清大特教系學會,nthu,department,自治,true,IG 顯示名「清大特教系學會」
facebook,https://www.facebook.com/profile.php?id=100075991926733,清大特殊教育學系系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學特殊教育學系系學會」
facebook,https://www.facebook.com/profile.php?id=100069861853321,清大心諮系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「清大心諮系學會」
instagram,nthu_epc,清大教育心理與諮商學系,nthu,department,自治,true,搜尋結果出現 instagram.com/nthu_epc 並關聯心諮系；系學會或系方經營 unverified
instagram,nthu_jad,清大藝術與設計學系,nthu,department,自治,true,IG 顯示名「國立清華大學藝術與設計學系」；系方帳號，未見獨立系學會帳號，unverified
instagram,nthu_gdece,清大幼兒教育學系,nthu,department,自治,true,IG 顯示名「國立清華大學 幼兒教育學系」；系方帳號，未見獨立系學會帳號，unverified
instagram,nthu_delt_edu,清大教育與學習科技學系,nthu,department,自治,true,IG 顯示名為系名，曾發文「清大教科系IG正式上線」；系方帳號，是否系學會經營 unverified
facebook,https://www.facebook.com/NTHUKIPE/,清大竹師教育學院學士班系學會,nthu,department,自治,true,搜尋結果顯示 FB 專頁「國立清華大學竹師教育學院學士班系學會」
instagram,nthuibp_official,清大清華學院國際學士班,nthu,department,自治,true,IG「International Bachelor Degree Program」官方帳號；學會或班辦經營 unverified
facebook,https://www.facebook.com/NTHUibp/,清大清華學院國際學士班,nthu,department,自治,true,FB 專頁「國立清華大學清華學院國際學士班」；學會或班辦經營 unverified
facebook,https://www.facebook.com/profile.php?id=100063694161887,清大人文社會學院學士班,nthu,department,自治,true,FB 專頁「清華大學人文社會學院學士班」；班官方頁面，班學會經營與否 unverified
facebook,https://www.facebook.com/nthuipns/,清大原子科學院學士班,nthu,department,自治,true,FB 專頁「清大原子科學院學士班 IPNS」；班官方頁面，系學會經營與否 unverified
facebook,https://www.facebook.com/nthuundeclared/,清大清華學院學士班,nthu,department,自治,true,FB 專頁「國立清華大學清華學院學士班」（nthuundeclared）；班官方頁面 unverified
facebook,https://www.facebook.com/profile.php?id=100087338606991,清大電資院學士班國際學生組,nthu,department,自治,true,FB 專頁「國立清華大學 電資院學士班國際學生組 NTHU-eecsgs」；組官方頁面，學生會經營與否 unverified
