platform,username,name,school,org_type,category_hint,active,notes
facebook,NCTUAstroClub,交大天文研究社,nycu,club,學術性社團,true,學務處社團介紹頁與NYCU官方「運動與社團」連結頁均直連此粉專；光復校區；batch_7 曾以FB專頁ID 282560961848806(同一專頁鏡像)記錄unverified、本筆佐證較強
facebook,NYCUIEC,交大創新創業社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連；FB專頁名「陽明交大創創社NYCU Innovation and Entrepreneurship Club」；光復校區
instagram,dreamlife_nthu_nycu,交大夢想方程式,nycu,club,學術性社團,true,NYCU官方「運動與社團」連結頁直連此IG；handle顯示為清大交大共用帳號；光復校區
facebook,https://www.facebook.com/profile.php?id=100064029420915,交大中智佛學社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連此FB；光復校區
facebook,nctufhl,交大信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁直連www.facebook.com/nctufhl；官方連結頁另連公開社團groups/nctufhl；光復校區
instagram,nycu_bible_study_club,交大聖經研習社,nycu,club,學術性社團,true,NYCU官方「運動與社團」連結頁直連此IG；學務處介紹頁列舊handle nctu_bible_study_club(疑改名)；光復校區
facebook,https://www.facebook.com/YM.LifeScience,陽明生科系學會（生命科學系系學會）,nycu,department,學生自治組織,true,學務處院系所學會列表直連(YMLS)；FB頁名「YMLS 國立陽明大學生命科學系暨基因體科學研究所」與系學會共用；陽明校區
instagram,ymfaithhopelove,陽明信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁直連此IG；陽明校區
facebook,YangMing.FaithHopeLove,陽明信望愛社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連此粉專；陽明校區
instagram,nycu_hymntruth,陽明詩歌真理社,nycu,club,學術性社團,true,學務處社團介紹頁直連此IG；陽明校區
facebook,nycu.hymntruth,陽明詩歌真理社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連此粉專；陽明校區
facebook,YMchinesemedicine,陽明中國傳統醫學研究社,nycu,club,學術性社團,true,學務處社團介紹頁與官方連結頁均直連；FB專頁名「陽明中醫社」(889讚)；陽明校區
facebook,https://www.facebook.com/NYCU-%E7%B2%B5%E8%AA%9E%E6%96%87%E5%8C%96%E7%A0%94%E7%A9%B6%E7%A4%BE-105192498918708,陽明粵語文化研究社,nycu,club,學術性社團,true,unverified：學務處學術性社團列表直連此FB專頁(舊式頁名URL、未另行驗證存活)；陽明校區
facebook,https://www.facebook.com/YM.PTATSA/,陽明物治系學會（物理治療暨輔助科技學系系學會）,nycu,department,學生自治組織,true,學務處院系所學會列表與官方連結頁均直連此粉專；陽明校區
