platform,username,name,school,org_type,category_hint,active,notes
facebook,NctuCyFamily,交大中友會（中部地區校友會）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
instagram,chungyou.nycu,交大中友會（中部地區校友會）,nycu,club,綜合性社團,true,搜尋結果佐證（IG 帳號頁）；光復校區
instagram,nycu_ym_hsnu_alumni,陽明校區師大附中校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
facebook,NCTUKGA,交大高雄屏東校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
instagram,tsc.nycu,交大轉學生聯誼會,nycu,club,綜合性社團,true,學務處頁列 linktr.ee/tsc.nycu，linktree 內含 IG；光復校區
facebook,nctu.trans,交大轉學生聯誼會,nycu,club,綜合性社團,true,linktr.ee/tsc.nycu 內含 FB；光復校區
facebook,nycuisag,陽明國際大使團112（ISAG）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
instagram,nycuisag,陽明國際大使團112（ISAG）,nycu,club,綜合性社團,true,學務處社團介紹頁列出；陽明校區
facebook,ChiayiYunlin,交大嘉義雲林校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
facebook,TaoYoWuYo,交大桃園地區友好會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
facebook,nctufcs,交大附中山校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
facebook,NCTU.TN,交大臺南地區校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出；光復校區
facebook,NCTUBYsummercamp.alwaysbewithyou,交大北區校友會,nycu,club,綜合性社團,true,學務處社團介紹頁列出，頁名似為北友返鄉營隊粉專；光復校區；unverified
facebook,YangMingIf,陽明勵青社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
instagram,nycu_if,陽明勵青社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
facebook,YMCrusade,陽明十字軍社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
facebook,lifecareclub,陽明關懷生命社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
instagram,nymudooooooooogs,陽明關懷生命社,nycu,club,服務性社團,true,學務處社團介紹頁列出（校犬關懷主題帳號）；陽明校區
facebook,nycu.chingeuo,陽明交通大學青少年幼兒服務社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
instagram,nycu_chingeuo,陽明交通大學青少年幼兒服務社,nycu,club,服務性社團,true,學務處社團介紹頁列出；陽明校區
