platform,username,name,school,org_type,category_hint,active,notes
instagram,nycu.sunrise.filmclub,陽明日出電影社,nycu,club,學藝性社團,true,NYCU官方社團連結頁(運動與社團)直連此IG;陽明校區
facebook,https://www.facebook.com/profile.php?id=100067995153028,陽明皮藝社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
instagram,nycu_cocktail_club,陽明調酒文化研究社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
instagram,nycucreatyme,陽明羊大隨彩社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
instagram,ym_choir,陽明合唱團,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;陽明校區
instagram,ymfd__is_the_best,陽明民族舞蹈社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此IG;陽明校區;英文名YMFD
facebook,https://www.facebook.com/pages/category/Performing-Arts/%E9%99%BD%E6%98%8E%E5%A4%A7%E5%AD%B8-%E8%88%9E%E5%8F%B0%E6%95%88%E6%9E%9C%E8%97%9D%E8%A1%93%E7%A4%BE-338307860052384/,陽明舞臺效果藝術社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連;舊式FB頁面(陽明大學-舞台效果藝術社)可能停更 unverified;陽明校區
facebook,nymuic,陽明烘焙研究社,nycu,club,學藝性社團,true,NYCU官方社團連結頁對應此FB;handle疑沿用陽明大學舊帳號 unverified;陽明校區
facebook,ympianoclub,陽明鋼琴社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB(陽明大學鋼琴社);陽明校區
facebook,aisingorchestra,陽明愛杏管弦樂團,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
facebook,hsienchihchineseorchestra,陽明咸池國樂社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
facebook,YMUHarmonica,陽明口琴社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;陽明校區
instagram,ymrm_26th,陽明熱門音樂社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此IG;屆別帳號(26th)換屆可能換號;陽明校區
facebook,nctufire,交大火舞社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;搜尋另見同名FB專頁(2400+讚);光復校區
facebook,nctuclubcake,交大蛋糕社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nycu.rubikscube.club,交大魔術方塊社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctuwb,交大管樂團,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,NCTUChan,交大達磨禪學社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctu.finart,交大美術社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctumixology,交大飲料調製社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctucalligraphyclub,交大書法社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,Makereal.Labs,交大創客俱樂部,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,NCTUComicClub,交大漫畫社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctuanime,交大動畫社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctuceramic,交大陶藝社,nycu,club,學藝性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,https://www.facebook.com/profile.php?id=100064975982338,交大嘻哈文化研究社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;與交大熱舞社(NCTUPOPDANCE)為不同社團;光復校區
facebook,https://www.facebook.com/profile.php?id=100064106407667,交大唱片騎師社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,https://www.facebook.com/profile.php?id=100063941550298,交大管弦樂團,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,https://www.facebook.com/groups/327026434028600/,交大烏克麗麗社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連;FB社團(group)非粉專;光復校區
facebook,NCTUDMCC,交大數位音樂創作社,nycu,club,音樂戲劇性社團,true,Brave搜尋見facebook.com/NCTUDMCC;官方連結頁另列官網nctudmcc.weebly.com;光復校區
facebook,ilovenctucmc,交大國樂社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctuchorus,交大友聲合唱團,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctupdcfans,交大布袋戲社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctuPIANO,交大鋼琴社,nycu,club,音樂戲劇性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,nctumgc,交大音樂遊戲社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,NCTUCCC,交大象棋社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連此FB;光復校區
facebook,https://www.facebook.com/groups/nctubridge/,交大橋藝社,nycu,club,康樂性社團,true,NYCU官方社團連結頁直連;FB社團(group)非粉專;光復校區
